"Tỉnh, thành phố";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Sơ bộ 2019"
"Yên Bái";120.7;129.6;127.8;127.8;143.7;150.5;155.6;160.2;167.9;171.9;169.5;178.7;178.2;170.2;186.2;186.1;194.8;197.7;198.5;202.4;207.7;214.2;211.5;210.0;215.5
"Thái Nguyên";179.4;205.6;220.4;225.4;248.1;265.5;286.7;310.9;313.5;314.4;322.2;326.5;324.4;332.6;339.3;339.8;368.3;367.4;363.0;365.9;381.4;384.7;379.4;386.4;384.0
"Lạng Sơn";128.5;132.8;154.0;152.6;149.3;144.7;179.1;178.1;190.7;191.7;198.9;188.4;199.2;191.8;194.1;198.3;169.9;202.8;208.1;212.9;210.6;218.3;205.9;205.2;203.9
"Bắc Giang";287.7;335.6;369.1;376.2;416.3;472.8;475.5;520.4;525.9;552.2;556.7;545.4;539.5;518.4;571.6;597.8;627.8;629.1;588.6;626.6;619.1;628.5;609.2;599.5;593.3
"Phú Thọ";183.6;185.3;204.5;216.1;240.6;282.3;309.2;345.6;350.1;350.1;355.4;342.5;324.2;331.8;362.8;352.3;376.4;375.5;379.6;376.0;370.4;373.2;367.9;365.8;345.2
"Điện Biên";..;..;..;..;..;..;..;..;..;122.8;127.5;133.3;131.5;138.4;146.6;155.1;154.8;157.9;161.6;170.6;174.8;175.4;178.1;185.3;187.7
"Lai Châu";100.8;98.3;106.1;107.0;122.6;131.6;139.6;141.6;154.7;83.6;92.8;99.1;99.9;104.7;111.9;116.7;118.6;119.4;126.2;127.7;132.8;136.4;145.7;143.8;149.0
"Sơn La";99.4;101.0;110.0;100.6;99.4;108.1;112.1;119.2;128.6;134.1;128.3;139.2;148.8;148.5;152.8;147.1;155.8;162.9;181.3;183.3;177.4;182.9;180.0;184.3;187.9
"Hoà Bình";128.7;116.6;129.5;124.7;150.2;163.9;189.0;196.7;204.8;208.3;194.2;218.5;195.4;206.8;198.3;192.7;208.2;217.0;205.4;215.0;195.8;215.9;180.6;207.2;206.5
"Bắc Trung Bộ và Duyên hải miền Trung";3890.2;3957.6;4467.9;4286.5;4777.7;4972.8;5144.5;5335.6;5572.1;5773.0;5342.5;5951.1;5764.3;6114.9;6243.2;6152.0;6535.1;6727.2;6599.7;7034.0;6855.1;6842.2;6997.9;7059.6;6861.9
"Thanh Hoá";848.4;708.1;981.6;972.7;1061.3;1095.8;1190.4;1252.5;1272.5;1325.9;1237.5;1398.6;1340.1;1404.3;1452.7;1396.6;1427.4;1482.5;1431.5;1516.5;1475.3;1493.1;1463.3;1413.5;1402.0
"Nghệ An";572.4;529.3;656.6;608.1;634.3;753.6;781.1;836.5;840.1;880.6;822.1;911.3;846.8;934.3;898.8;828.6;959.9;969.8;930.1;1012.5;978.8;1007.4;1015.1;1009.1;949.5
"Hà Tĩnh";308.5;316.1;358.7;305.6;377.8;395.7;414.1;446.1;462.6;485.2;454.2;476.8;363.7;466.5;467.8;414.4;470.9;482.3;479.0;511.4;521.5;530.4;442.8;535.3;506.7
"Quảng Bình";123.9;154.1;151.2;121.6;169.9;191.1;191.7;206.1;207.3;225.2;221.5;231.8;215.8;240.1;243.4;234.7;260.2;262.4;251.9;277.4;275.4;281.4;284.7;284.7;260.9
