city,year,sumOfForestAcreage,ratioForestCover,area,district
Hà Nội,2008,23.0,6.6,Đồng Bằng Sông Hồng,Huyện Quốc Oai
Hà Nội,2009,24.5,7.1,Đồng Bằng Sông Hồng,Quận Hai Bà Trưng
Hà Nội,2010,24.3,7.0,Đồng Bằng Sông Hồng,Huyện Quốc Oai
Hà Nội,2011,24.3,7.0,Đồng Bằng Sông Hồng,Quận Ba Đình
Hà Nội,2012,24.5,7.1,Đồng Bằng Sông Hồng,Huyện Thường Tín
Hà Nội,2013,23.8,6.8,Đồng Bằng Sông Hồng,Quận Bắc Từ Liêm
Hà Nội,2014,23.7,6.8,Đồng Bằng Sông Hồng,Quận Nam Từ Liêm
Hà Nội,2015,20.0,5.6,Đồng Bằng Sông Hồng,Quận Tây Hồ
Hà Nội,2016,20.0,5.6,Đồng Bằng Sông Hồng,Huyện Ứng Hòa
Hà Nội,2018,19.6,5.5,Đồng Bằng Sông Hồng,Quận Tây Hồ
Hà Nội,2019,19.6,5.7,Đồng Bằng Sông Hồng,Huyện Đông Anh
Vĩnh Phúc,2008,28.4,21.8,Đồng Bằng Sông Hồng,Huyện Tam Dương
Vĩnh Phúc,2009,28.6,22.3,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2010,28.5,22.4,Đồng Bằng Sông Hồng,Huyện Yên Lạc
Vĩnh Phúc,2011,28.2,22.1,Đồng Bằng Sông Hồng,Huyện Tam Đảo
Vĩnh Phúc,2012,31.0,24.1,Đồng Bằng Sông Hồng,Huyện Vĩnh Tường
Vĩnh Phúc,2013,31.9,25.0,Đồng Bằng Sông Hồng,Huyện Tam Dương
Vĩnh Phúc,2014,31.8,24.9,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2015,33.3,24.1,Đồng Bằng Sông Hồng,Thành phố Vĩnh Yên
Vĩnh Phúc,2016,33.3,23.8,Đồng Bằng Sông Hồng,Thị xã Phúc Yên
Vĩnh Phúc,2018,33.5,24.4,Đồng Bằng Sông Hồng,Huyện Tam Dương
Vĩnh Phúc,2019,33.2,24.7,Đồng Bằng Sông Hồng,Thị xã Phúc Yên
Bắc Ninh,2008,0.6,0.5,Đồng Bằng Sông Hồng,Huyện Lương Tài
Bắc Ninh,2009,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Lương Tài
Bắc Ninh,2010,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Yên Phong
Bắc Ninh,2011,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Thuận Thành
Bắc Ninh,2012,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Thuận Thành
Bắc Ninh,2013,0.6,0.7,Đồng Bằng Sông Hồng,Thành phố Bắc Ninh
Bắc Ninh,2014,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Tiên Du
Bắc Ninh,2015,0.6,0.7,Đồng Bằng Sông Hồng,Thành phố Bắc Ninh
Bắc Ninh,2016,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Tiên Du
Bắc Ninh,2018,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Thuận Thành
Bắc Ninh,2019,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Gia Bình
Quảng Ninh,2008,291.3,42.6,Đồng Bằng Sông Hồng,Huyện Bình Liêu
Quảng Ninh,2009,301.8,44.4,Đồng Bằng Sông Hồng,Thành phố Cẩm Phả
Quảng Ninh,2010,310.4,46.2,Đồng Bằng Sông Hồng,Thị xã Đông Triều
Quảng Ninh,2011,316.6,47.7,Đồng Bằng Sông Hồng,Thị xã Đông Triều
Quảng Ninh,2012,322.4,48.9,Đồng Bằng Sông Hồng,Thị xã Đông Triều
Quảng Ninh,2013,340.7,53.0,Đồng Bằng Sông Hồng,Thành phố Uông Bí
Quảng Ninh,2014,356.2,53.5,Đồng Bằng Sông Hồng,Thành phố Cẩm Phả
Quảng Ninh,2015,369.9,53.6,Đồng Bằng Sông Hồng,Huyện Vân Đồn
Quảng Ninh,2016,370.3,54.1,Đồng Bằng Sông Hồng,Huyện Đầm Hà
Quảng Ninh,2018,370.4,54.7,Đồng Bằng Sông Hồng,Thị xã Quảng Yên
Quảng Ninh,2019,370.3,54.8,Đồng Bằng Sông Hồng,Thị xã Đông Triều
Hải Dương,2008,10.4,6.3,Đồng Bằng Sông Hồng,Huyện Thanh Miện
Hải Dương,2009,10.3,6.2,Đồng Bằng Sông Hồng,Huyện Tứ Kỳ
Hải Dương,2010,10.2,6.2,Đồng Bằng Sông Hồng,Huyện Kinh Môn
Hải Dương,2011,10.4,6.3,Đồng Bằng Sông Hồng,Huyện Kinh Môn
Hải Dương,2012,10.4,6.3,Đồng Bằng Sông Hồng,Huyện Bình Giang
Hải Dương,2013,10.4,6.3,Đồng Bằng Sông Hồng,Huyện Thanh Miện
Hải Dương,2014,11.1,6.0,Đồng Bằng Sông Hồng,Thị xã Chí Linh
Hải Dương,2015,11.1,6.7,Đồng Bằng Sông Hồng,Huyện Tứ Kỳ
Hải Dương,2016,9.1,5.2,Đồng Bằng Sông Hồng,Huyện Cẩm Giàng
Hải Dương,2018,9.0,5.2,Đồng Bằng Sông Hồng,Huyện Kinh Môn
Hải Dương,2019,9.0,5.1,Đồng Bằng Sông Hồng,Huyện Bình Giang
Hải Phòng,2008,17.3,11.2,Đồng Bằng Sông Hồng,Quận Kiến An
Hải Phòng,2009,17.8,11.2,Đồng Bằng Sông Hồng,Huyện Vĩnh Bảo
Hải Phòng,2010,18.0,11.3,Đồng Bằng Sông Hồng,Huyện An Dương
Hải Phòng,2011,18.0,11.3,Đồng Bằng Sông Hồng,Huyện An Lão
Hải Phòng,2012,18.0,11.3,Đồng Bằng Sông Hồng,Huyện Kiến Thuỵ
Hải Phòng,2013,18.0,11.3,Đồng Bằng Sông Hồng,Huyện Kiến Thuỵ
Hải Phòng,2014,18.0,11.3,Đồng Bằng Sông Hồng,Quận Kiến An
Hải Phòng,2015,18.3,11.3,Đồng Bằng Sông Hồng,Huyện Kiến Thuỵ
Hải Phòng,2016,13.8,8.8,Đồng Bằng Sông Hồng,Quận Kiến An
Hải Phòng,2018,13.9,8.5,Đồng Bằng Sông Hồng,Quận Ngô Quyền
Hải Phòng,2019,13.8,8.5,Đồng Bằng Sông Hồng,Huyện An Lão
Thái Bình,2008,7.5,4.4,Đồng Bằng Sông Hồng,Huyện Thái Thụy
Thái Bình,2009,7.7,4.9,Đồng Bằng Sông Hồng,Huyện Kiến Xương
Thái Bình,2010,7.3,4.8,Đồng Bằng Sông Hồng,Thành phố Thái Bình
Thái Bình,2011,7.3,4.7,Đồng Bằng Sông Hồng,Thành phố Thái Bình
Thái Bình,2012,5.7,3.6,Đồng Bằng Sông Hồng,Huyện Quỳnh Phụ
Thái Bình,2013,5.7,3.6,Đồng Bằng Sông Hồng,Thành phố Thái Bình
Thái Bình,2014,5.9,3.8,Đồng Bằng Sông Hồng,Huyện Hưng Hà
Thái Bình,2015,3.6,2.1,Đồng Bằng Sông Hồng,Huyện Hưng Hà
Thái Bình,2016,4.6,2.5,Đồng Bằng Sông Hồng,Huyện Kiến Xương
Thái Bình,2018,4.2,2.2,Đồng Bằng Sông Hồng,Huyện Hưng Hà
Thái Bình,2019,4.3,2.4,Đồng Bằng Sông Hồng,Huyện Hưng Hà
Hà Nam,2008,8.0,9.3,Đồng Bằng Sông Hồng,Huyện Lý Nhân
Hà Nam,2009,7.4,8.6,Đồng Bằng Sông Hồng,Huyện Lý Nhân
Hà Nam,2010,4.8,5.3,Đồng Bằng Sông Hồng,Huyện Kim Bảng
Hà Nam,2011,4.8,5.3,Đồng Bằng Sông Hồng,Huyện Thanh Liêm
Hà Nam,2012,4.7,5.5,Đồng Bằng Sông Hồng,Huyện Lý Nhân
Hà Nam,2013,4.8,5.5,Đồng Bằng Sông Hồng,Huyện Bình Lục
Hà Nam,2014,4.8,5.4,Đồng Bằng Sông Hồng,Huyện Thanh Liêm
Hà Nam,2015,5.5,6.4,Đồng Bằng Sông Hồng,Huyện Thanh Liêm
Hà Nam,2016,5.5,6.2,Đồng Bằng Sông Hồng,Huyện Thanh Liêm
Hà Nam,2018,5.4,6.3,Đồng Bằng Sông Hồng,Huyện Thanh Liêm
Hà Nam,2019,5.4,6.2,Đồng Bằng Sông Hồng,Huyện Kim Bảng
Nam Định,2008,2.8,1.7,Đồng Bằng Sông Hồng,Huyện Ý Yên
Nam Định,2009,2.8,1.7,Đồng Bằng Sông Hồng,Huyện Mỹ Lộc
Nam Định,2010,3.6,2.2,Đồng Bằng Sông Hồng,Huyện Vụ Bản
Nam Định,2011,3.7,2.2,Đồng Bằng Sông Hồng,Huyện Nam Trực
Nam Định,2012,3.5,2.1,Đồng Bằng Sông Hồng,Huyện Nam Trực
Nam Định,2013,3.5,2.1,Đồng Bằng Sông Hồng,Huyện Giao Thủy
Nam Định,2014,3.5,2.1,Đồng Bằng Sông Hồng,Huyện Trực Ninh
Nam Định,2015,3.1,1.7,Đồng Bằng Sông Hồng,Huyện Ý Yên
Nam Định,2016,3.1,1.7,Đồng Bằng Sông Hồng,Huyện Xuân Trường
Nam Định,2018,3.1,1.8,Đồng Bằng Sông Hồng,Thành phố Nam Định
Nam Định,2019,3.1,1.9,Đồng Bằng Sông Hồng,Huyện Ý Yên
Ninh Bình,2008,27.1,18.8,Đồng Bằng Sông Hồng,Thành phố Tam Điệp
Ninh Bình,2009,27.4,19.1,Đồng Bằng Sông Hồng,Huyện Hoa Lư
Ninh Bình,2010,27.2,19.3,Đồng Bằng Sông Hồng,Huyện Hoa Lư
Ninh Bình,2011,26.9,19.2,Đồng Bằng Sông Hồng,Thành phố Ninh Bình
Ninh Bình,2012,26.9,19.3,Đồng Bằng Sông Hồng,Huyện Kim Sơn
Ninh Bình,2013,26.6,19.1,Đồng Bằng Sông Hồng,Huyện Yên Mô
Ninh Bình,2014,27.4,19.6,Đồng Bằng Sông Hồng,Huyện Kim Sơn
Ninh Bình,2015,26.2,18.1,Đồng Bằng Sông Hồng,Huyện Yên Khánh
Ninh Bình,2016,27.5,18.8,Đồng Bằng Sông Hồng,Huyện Nho Quan
Ninh Bình,2018,27.3,19.3,Đồng Bằng Sông Hồng,Thành phố Ninh Bình
Ninh Bình,2019,27.6,19.3,Đồng Bằng Sông Hồng,Huyện Hoa Lư
Hà Giang,2008,422.4,52.6,Đông Bắc,Huyện Quang Bình
Hà Giang,2009,427.5,51.6,Đông Bắc,Huyện Yên Minh
Hà Giang,2010,444.9,53.3,Đông Bắc,Huyện Mèo Vạc
Hà Giang,2011,447.9,54.2,Đông Bắc,Huyện Yên Minh
Hà Giang,2012,447.9,55.2,Đông Bắc,Huyện Mèo Vạc
Hà Giang,2013,437.2,54.3,Đông Bắc,Huyện Mèo Vạc
Hà Giang,2014,437.0,54.3,Đông Bắc,Huyện Quản Bạ
Hà Giang,2015,455.6,56.3,Đông Bắc,Huyện Quang Bình
Hà Giang,2016,448.9,55.1,Đông Bắc,Huyện Đồng Văn
Hà Giang,2018,459.2,56.5,Đông Bắc,Huyện Hoàng Su Phì
Hà Giang,2019,470.1,58.0,Đông Bắc,Huyện Bắc Mê
Cao Bằng,2008,333.5,49.5,Đông Bắc,Huyện Hạ Lang
Cao Bằng,2009,334.9,49.8,Đông Bắc,Huyện Thạch An
Cao Bằng,2010,336.8,50.0,Đông Bắc,Thành phố Cao Bằng
Cao Bằng,2011,338.3,50.4,Đông Bắc,Huyện Phục Hoà
Cao Bằng,2012,339.0,50.5,Đông Bắc,Huyện Phục Hoà
Cao Bằng,2013,339.5,50.5,Đông Bắc,Huyện Hà Quảng
Cao Bằng,2014,339.2,50.5,Đông Bắc,Huyện Hạ Lang
Cao Bằng,2015,360.5,53.5,Đông Bắc,Thành phố Cao Bằng
Cao Bằng,2016,360.8,53.5,Đông Bắc,Thành phố Cao Bằng
Cao Bằng,2018,367.9,54.4,Đông Bắc,Huyện Trùng Khánh
Cao Bằng,2019,373.3,55.2,Đông Bắc,Huyện Hạ Lang
Bắc Kạn,2008,274.3,55.7,Đông Bắc,Huyện Bạch Thông
Bắc Kạn,2009,281.3,56.6,Đông Bắc,Huyện Pác Nặm
Bắc Kạn,2010,288.1,57.5,Đông Bắc,Huyện Ba Bể
Bắc Kạn,2011,296.9,58.7,Đông Bắc,Huyện Na Rì
Bắc Kạn,2012,367.5,70.6,Đông Bắc,Huyện Pác Nặm
Bắc Kạn,2013,368.9,70.8,Đông Bắc,Huyện Ngân Sơn
Bắc Kạn,2014,370.0,70.8,Đông Bắc,Huyện Bạch Thông
Bắc Kạn,2015,370.2,71.0,Đông Bắc,Huyện Bạch Thông
Bắc Kạn,2016,370.4,71.4,Đông Bắc,Huyện Na Rì
Bắc Kạn,2018,371.9,72.6,Đông Bắc,Huyện Bạch Thông
Bắc Kạn,2019,371.9,72.9,Đông Bắc,Huyện Ngân Sơn
Tuyên Quang,2008,386.1,62.5,Đông Bắc,Huyện Lâm Bình
Tuyên Quang,2009,386.1,62.8,Đông Bắc,Huyện Hàm Yên
Tuyên Quang,2010,390.1,64.1,Đông Bắc,Huyện Yên Sơn
Tuyên Quang,2011,397.4,64.2,Đông Bắc,Huyện Lâm Bình
Tuyên Quang,2012,405.5,64.3,Đông Bắc,Huyện Yên Sơn
Tuyên Quang,2013,408.6,64.5,Đông Bắc,Huyện Sơn Dương
Tuyên Quang,2014,415.6,64.7,Đông Bắc,Huyện Yên Sơn
Tuyên Quang,2015,415.6,64.8,Đông Bắc,Huyện Lâm Bình
Tuyên Quang,2016,417.0,64.7,Đông Bắc,Huyện Sơn Dương
Tuyên Quang,2018,422.5,65.0,Đông Bắc,Huyện Hàm Yên
Tuyên Quang,2019,424.7,65.2,Đông Bắc,Huyện Chiêm Hóa
Lào Cai,2008,314.9,47.8,Tây Bắc,Huyện Văn Bàn
Lào Cai,2009,323.3,49.4,Tây Bắc,Huyện Bảo Yên
Lào Cai,2010,327.8,50.1,Tây Bắc,Huyện Si Ma Cai
Lào Cai,2011,333.6,50.8,Tây Bắc,Huyện Văn Bàn
Lào Cai,2012,334.9,51.2,Tây Bắc,Huyện Sa Pa
Lào Cai,2013,344.3,52.0,Tây Bắc,Huyện Sa Pa
Lào Cai,2014,351.4,52.8,Tây Bắc,Huyện Mường Khương
Lào Cai,2015,348.3,53.1,Tây Bắc,Huyện Mường Khương
Lào Cai,2016,353.0,53.8,Tây Bắc,Huyện Văn Bàn
Lào Cai,2018,361.1,54.8,Tây Bắc,Thành phố Lào Cai
Lào Cai,2019,367.5,55.6,Tây Bắc,Huyện Bảo Thắng
Yên Bái,2008,400.2,56.3,Tây Bắc,Huyện Trạm Tấu
Yên Bái,2009,404.4,56.9,Tây Bắc,Thị xã Nghĩa Lộ
Yên Bái,2010,410.7,57.7,Tây Bắc,Huyện Văn Yên
Yên Bái,2011,410.8,58.1,Tây Bắc,Huyện Lục Yên
Yên Bái,2012,414.6,58.8,Tây Bắc,Huyện Trạm Tấu
Yên Bái,2013,407.8,57.5,Tây Bắc,Thành phố Yên Bái
Yên Bái,2014,430.9,60.4,Tây Bắc,Thành phố Yên Bái
Yên Bái,2015,453.1,62.2,Tây Bắc,Huyện Yên Bình
Yên Bái,2016,454.8,62.5,Tây Bắc,Huyện Trạm Tấu
Yên Bái,2018,464.2,63.0,Tây Bắc,Huyện Lục Yên
Yên Bái,2019,462.3,63.0,Tây Bắc,Huyện Trạm Tấu
Thái Nguyên,2008,167.9,45.3,Đông Bắc,Thị xã Phổ Yên
Thái Nguyên,2009,171.7,45.7,Đông Bắc,Huyện Đồng Hỷ
Thái Nguyên,2010,175.1,46.0,Đông Bắc,Huyện Phú Bình
Thái Nguyên,2011,177.8,46.6,Đông Bắc,Huyện Phú Lương
Thái Nguyên,2012,178.8,47.2,Đông Bắc,Huyện Đại Từ
Thái Nguyên,2013,181.0,47.8,Đông Bắc,Thành phố Thái Nguyên
Thái Nguyên,2014,182.7,47.9,Đông Bắc,Huyện Đại Từ
Thái Nguyên,2015,185.5,48.8,Đông Bắc,Huyện Đồng Hỷ
Thái Nguyên,2016,186.5,47.1,Đông Bắc,Huyện Định Hóa
Thái Nguyên,2018,187.4,46.5,Đông Bắc,Thành phố Thái Nguyên
